global_iteration,local_iteration,total_iteration,vfe,ll,kl,error
0,0,0,-2.1580419540405273,-0.6926732063293457,5298.77392578125,0.1328125
0,49,49,-2.1584222316741943,-0.693694531917572,5296.45556640625,0.8359375
0,99,99,-2.1571731567382812,-0.6930992603302002,5294.0908203125,0.109375
0,149,149,-2.1564674377441406,-0.6930475831031799,5291.72607421875,0.1171875
0,199,199,-2.155505895614624,-0.6927399635314941,5289.36181640625,0.09375
0,249,249,-2.155545711517334,-0.6934332847595215,5286.99853515625,0.8515625
0,299,299,-2.155062198638916,-0.6936035752296448,5284.6337890625,0.84375
0,349,349,-2.1542930603027344,-0.6934884190559387,5282.27001953125,0.8671875
0,399,399,-2.1533262729644775,-0.6931751370429993,5279.90625,0.90625
0,449,449,-2.15289306640625,-0.6933951377868652,5277.54443359375,0.9140625
0,499,499,-2.1523234844207764,-0.693479061126709,5275.181640625,0.8203125
0,549,549,-2.151247262954712,-0.6930563449859619,5272.81884765625,0.1484375
0,599,599,-2.151089906692505,-0.6935522556304932,5270.4560546875,0.8984375
0,649,649,-2.1495580673217773,-0.6926736831665039,5268.09423828125,0.1171875
0,699,699,-2.1490776538848877,-0.6928462982177734,5265.732421875,0.1328125
0,749,749,-2.1489994525909424,-0.6934218406677246,5263.369140625,0.90625
0,799,799,-2.148483991622925,-0.6935591697692871,5261.00830078125,0.890625
0,849,849,-2.147355556488037,-0.6930835247039795,5258.6474609375,0.1171875
0,899,899,-2.146937608718872,-0.6933186054229736,5256.2861328125,0.8359375
0,949,949,-2.1457934379577637,-0.6928271055221558,5253.92578125,0.1640625
0,999,999,-2.1449131965637207,-0.6925997734069824,5251.56591796875,0.109375
1,0,1000,-3.7483596801757812,-0.6931346654891968,11047.6943359375,0.1328125
1,49,1049,-3.7483153343200684,-0.693161129951477,11047.4375,0.8359375
1,99,1099,-3.7482588291168213,-0.6931763291358948,11047.1787109375,0.890625
1,149,1149,-3.7482333183288574,-0.6932224035263062,11046.9189453125,0.8828125
1,199,1199,-3.748138427734375,-0.6931992769241333,11046.66015625,0.90625
1,249,1249,-3.748018741607666,-0.6931513547897339,11046.4013671875,0.8515625
1,299,1299,-3.747976779937744,-0.6931807994842529,11046.142578125,0.84375
1,349,1349,-3.7478978633880615,-0.6931734085083008,11045.8837890625,0.8671875
1,399,1399,-3.7477807998657227,-0.6931276321411133,11045.6259765625,0.09375
1,449,1449,-3.7477011680603027,-0.6931189298629761,11045.369140625,0.0859375
1,499,1499,-3.7476353645324707,-0.6931245923042297,11045.1103515625,0.1796875
1,549,1549,-3.747596502304077,-0.6931568384170532,11044.8544921875,0.8515625
1,599,1599,-3.747426986694336,-0.6930584907531738,11044.5966796875,0.1015625
1,649,1649,-3.747433662414551,-0.6931369304656982,11044.3369140625,0.1171875
1,699,1699,-3.7474193572998047,-0.6931934356689453,11044.0810546875,0.8671875
1,749,1749,-3.7472927570343018,-0.6931378841400146,11043.82421875,0.09375
1,799,1799,-3.7471375465393066,-0.6930537223815918,11043.5673828125,0.109375
1,849,1849,-3.747119665145874,-0.6931068897247314,11043.310546875,0.1171875
1,899,1899,-3.7470645904541016,-0.6931222677230835,11043.0556640625,0.1640625
1,949,1949,-3.7469961643218994,-0.6931243538856506,11042.80078125,0.1640625
1,999,1999,-3.7469778060913086,-0.6931768655776978,11042.5439453125,0.890625
2,0,2000,-3.7339630126953125,-0.6931208372116089,10995.685546875,0.1328125
2,49,2049,-3.7339043617248535,-0.693132758140564,10995.4306640625,0.1640625
2,99,2099,-3.7338356971740723,-0.6931353807449341,10995.1728515625,0.109375
2,149,2149,-3.7338039875030518,-0.693175196647644,10994.9130859375,0.8828125
2,199,2199,-3.733625888824463,-0.6930683851242065,10994.6552734375,0.09375
2,249,2249,-3.7336032390594482,-0.6931173801422119,10994.396484375,0.1484375
2,299,2299,-3.7335023880004883,-0.6930884122848511,10994.13671875,0.15625
2,349,2349,-3.7334203720092773,-0.6930783987045288,10993.876953125,0.1328125
2,399,2399,-3.7333407402038574,-0.6930697560310364,10993.619140625,0.09375
2,449,2449,-3.733307361602783,-0.693107545375824,10993.3623046875,0.0859375
2,499,2499,-3.7331881523132324,-0.6930596828460693,10993.1044921875,0.1796875
2,549,2549,-3.733184814453125,-0.6931276917457581,10992.8466796875,0.1484375
2,599,2599,-3.733121633529663,-0.6931354999542236,10992.58984375,0.1015625
2,649,2649,-3.733032703399658,-0.6931177377700806,10992.3330078125,0.1171875
2,699,2699,-3.7329764366149902,-0.6931329965591431,10992.07421875,0.1328125
2,749,2749,-3.732868194580078,-0.6930955648422241,10991.818359375,0.09375
2,799,2799,-3.732841968536377,-0.6931403875350952,10991.5615234375,0.109375
2,849,2849,-3.732738494873047,-0.693107545375824,10991.3056640625,0.1171875
2,899,2899,-3.7326269149780273,-0.693066418170929,10991.0498046875,0.1640625
2,949,2949,-3.732609272003174,-0.6931201815605164,10990.79296875,0.1640625
2,999,2999,-3.7325596809387207,-0.6931406259536743,10990.5390625,0.109375
3,0,3000,-3.719574451446533,-0.693111002445221,10943.6923828125,0.1328125
3,49,3049,-3.71951961517334,-0.6931272745132446,10943.435546875,0.1640625
3,99,3099,-3.7194249629974365,-0.6931033134460449,10943.1787109375,0.109375
3,149,3149,-3.719329595565796,-0.6930801868438721,10942.91796875,0.1171875
3,199,3199,-3.719240665435791,-0.6930627822875977,10942.6591796875,0.09375
3,249,3249,-3.719165802001953,-0.6930595636367798,10942.3994140625,0.1484375
3,299,3299,-3.719132661819458,-0.6930983662605286,10942.140625,0.15625
3,349,3349,-3.71905779838562,-0.693094789981842,10941.8828125,0.1328125
3,399,3399,-3.718883514404297,-0.6929919719696045,10941.6240234375,0.09375
