global_iteration,local_iteration,total_iteration,vfe,ll,kl,error
0,0,1,-72.35952758789062,-70.57288360595703,35.73292922973633,1.1819366216659546
0,49,50,-57.81916046142578,-55.88294219970703,38.72431945800781,1.0501517057418823
0,99,100,-14.968920707702637,-12.629722595214844,46.78398132324219,0.4410955607891083
0,149,150,-18.724210739135742,-16.095470428466797,52.574798583984375,0.5245095491409302
0,199,200,-22.435218811035156,-19.77618408203125,53.18064498901367,0.48788514733314514
0,249,250,-27.247596740722656,-24.520248413085938,54.54697036743164,0.5531172156333923
0,299,300,-18.34627914428711,-15.592062950134277,55.08430480957031,0.3862578570842743
0,349,350,-17.605449676513672,-14.671609878540039,58.67683029174805,0.35064446926116943
0,399,400,-9.784015655517578,-6.826216697692871,59.15599060058594,0.36695656180381775
0,449,450,-6.385363578796387,-3.3594775199890137,60.51772689819336,0.3034132421016693
0,499,500,-8.990293502807617,-5.971528053283691,60.37532043457031,0.32114601135253906
0,549,550,-6.496230125427246,-3.371119976043701,62.50221252441406,0.2704514265060425
0,599,600,-9.372302055358887,-6.102939605712891,65.38725280761719,0.2967365086078644
0,649,650,-7.104963302612305,-3.845370292663574,65.19186401367188,0.28131988644599915
0,699,700,-5.782943248748779,-2.4723899364471436,66.2110595703125,0.26641571521759033
0,749,750,-8.453710556030273,-5.090799331665039,67.25822448730469,0.3480854034423828
0,799,800,-8.403940200805664,-5.079860687255859,66.48158264160156,0.3080524504184723
0,849,850,-6.734830856323242,-3.4172871112823486,66.35086822509766,0.2864256799221039
0,899,900,-6.23287296295166,-2.8726468086242676,67.20452880859375,0.25030946731567383
0,949,950,-6.041238307952881,-2.7600057125091553,65.62464904785156,0.2448851615190506
0,999,1000,-9.367874145507812,-5.904375076293945,69.26997375488281,0.36454668641090393
0,1049,1050,-7.116678237915039,-3.6916403770446777,68.50074768066406,0.2585795819759369
0,1099,1100,-7.4668073654174805,-4.030144691467285,68.73326110839844,0.2724156379699707
0,1149,1150,-7.401501178741455,-3.9732413291931152,68.56520080566406,0.27468839287757874
0,1199,1200,-5.250213623046875,-1.8444652557373047,68.11495971679688,0.2443436235189438
0,1249,1250,-5.237116813659668,-1.8999323844909668,66.74368286132812,0.24343447387218475
0,1299,1300,-4.609405040740967,-1.3068625926971436,66.05084991455078,0.22915984690189362
0,1349,1350,-4.874314785003662,-1.5917383432388306,65.65153503417969,0.22336941957473755
0,1399,1400,-5.154253005981445,-1.8541779518127441,66.00149536132812,0.2536924481391907
0,1449,1450,-5.041213035583496,-1.803467869758606,64.7549057006836,0.2447529137134552
0,1499,1500,-6.015796184539795,-2.7989230155944824,64.33746337890625,0.2713216245174408
0,1549,1550,-6.169445037841797,-3.0015740394592285,63.357421875,0.27175790071487427
0,1599,1600,-4.491756439208984,-1.2513303756713867,64.80851745605469,0.20431680977344513
0,1649,1650,-5.711908340454102,-2.399151086807251,66.25514221191406,0.23929555714130402
0,1699,1700,-5.226487159729004,-2.0226964950561523,64.0758056640625,0.2254582643508911
0,1749,1750,-4.505789279937744,-1.286283254623413,64.39012145996094,0.2248246967792511
0,1799,1800,-5.4901556968688965,-2.300436019897461,63.79438781738281,0.2596931457519531
0,1849,1850,-7.362619876861572,-4.135752201080322,64.537353515625,0.23720324039459229
0,1899,1900,-5.651303291320801,-2.397007942199707,65.08590698242188,0.22320124506950378
0,1949,1950,-5.141193389892578,-1.658442735671997,69.6550064086914,0.19998525083065033
